date,price
08/17/2023,1915.2
08/16/2023,1928.3
08/15/2023,1935.2
08/14/2023,1944
08-11-2023,1946.6
08-10-2023,1948.9
08-09-2023,1950.6
08-08-2023,1959.9
08-07-2023,1970
08-04-2023,1939.6
08-03-2023,1932
08-02-2023,1937.4
08-01-2023,1940.7
07/31/2023,1970.5
07/28/2023,1960.4
07/27/2023,1945.7
07/26/2023,1970.1
07/25/2023,1963.7
07/24/2023,1962.2
07/21/2023,1966.6
07/20/2023,1970.9
07/19/2023,1980.4
07/18/2023,1980.8
07/17/2023,1956.4
07/14/2023,1964.4
07/13/2023,1963.8
07-12-2023,1961.7
07-11-2023,1937.1
07-10-2023,1931
07-07-2023,1932.5
07-06-2023,1915.4
07-05-2023,1927.1
07-03-2023,1929.5
06/30/2023,1929.4
06/29/2023,1917.9
06/28/2023,1922.2
06/27/2023,1923.8
06/26/2023,1933.8
06/23/2023,1929.6
06/22/2023,1923.7
06/21/2023,1944.9
06/20/2023,1947.7
06/16/2023,1971.2
06/15/2023,1970.7
06/14/2023,1968.9
06/13/2023,1958.6
06-12-2023,1969.7
06-09-2023,1977.2
06-08-2023,1978.6
06-07-2023,1958.4
06-06-2023,1965.5
06-05-2023,1958
06-02-2023,1952.4
06-01-2023,1978
05/31/2023,1963.9
05/30/2023,1958
05/26/2023,1944.3
05/25/2023,1943.7
05/24/2023,1964.6
05/23/2023,1974.5
05/22/2023,1977.2
05/19/2023,1981.6
05/18/2023,1959.8
05/17/2023,1984.9
05/16/2023,1993
05/15/2023,2022.7
05-12-2023,2019.8
05-11-2023,2020.5
05-10-2023,2037.1
05-09-2023,2042.9
05-08-2023,2033.2
05-05-2023,2024.8
05-04-2023,2055.7
05-03-2023,2037
05-02-2023,2023.3
05-01-2023,1992.2
04/28/2023,1999.1
04/27/2023,1999
04/26/2023,1996
04/25/2023,2004.5
04/24/2023,1999.8
04/21/2023,1990.5
04/20/2023,2019.1
04/19/2023,2007.3
04/18/2023,2019.7
04/17/2023,2007
04/14/2023,2015.8
04/13/2023,2055.3
04-12-2023,2024.9
04-11-2023,2019
04-10-2023,2003.8
04-06-2023,2026.4
04-05-2023,2020.9
04-04-2023,2022.2
04-03-2023,1983.9
03/31/2023,1969
03/30/2023,1980.3
03/29/2023,1966.9
03/28/2023,1973.5
03/27/2023,1953.8
03/24/2023,1983.8
03/23/2023,1995.9
03/22/2023,1949.6
03/21/2023,1941.1
03/20/2023,1999.7
03/17/2023,1990.2
03/16/2023,1923
03/15/2023,1931.3
03/14/2023,1910.9
03/13/2023,1916.5
03-10-2023,1867.2
03-09-2023,1834.6
03-08-2023,1818.6
03-07-2023,1820
03-06-2023,1852.4
03-03-2023,1854.6
03-02-2023,1840.5
03-01-2023,1845.4
02/28/2023,1836.7
02/27/2023,1824.9
02/24/2023,1817.1
02/23/2023,1826.8
02/22/2023,1841.5
02/21/2023,1842.5
02/17/2023,1850.2
02/16/2023,1851.8
02/15/2023,1845.3
02/14/2023,1865.4
02/13/2023,1863.5
02-10-2023,1874.5
02-09-2023,1878.5
02-08-2023,1890.7
02-07-2023,1884.8
02-06-2023,1879.5
02-03-2023,1876.6
02-02-2023,1930.8
02-01-2023,1942.8
01/31/2023,1945.3
01/30/2023,1939.2
01/27/2023,1945.6
01/26/2023,1946.7
01/25/2023,1959.4
01/24/2023,1952.2
01/23/2023,1945.4
01/20/2023,1928.2
01/19/2023,1923.9
01/18/2023,1907
01/17/2023,1909.9
01/13/2023,1921.7
01-12-2023,1898.8
01-11-2023,1878.9
01-10-2023,1876.5
01-09-2023,1877.8
01-06-2023,1869.7
01-05-2023,1840.6
01-04-2023,1859
01-03-2023,1846.1
12/30/2022,1826.2
12/29/2022,1826
12/28/2022,1815.8
12/27/2022,1823.1
12/23/2022,1804.2
12/22/2022,1795.3
12/21/2022,1823.9
12/20/2022,1825.4
12/19/2022,1797.7
12/16/2022,1800.2
12/15/2022,1787.8
12/14/2022,1818.7
12/13/2022,1825.5
12-12-2022,1792.3
12-09-2022,1810.7
12-08-2022,1801.5
12-07-2022,1798
12-06-2022,1782.4
12-05-2022,1781.3
12-02-2022,1809.6
12-01-2022,1815.2
11/30/2022,1759.9
