date,price
08/17/2023,23.042
08/16/2023,22.856
08/15/2023,22.656
08/14/2023,22.708
08/11/2023,22.743
08/10/2023,22.821
08/09/2023,22.731
08/08/2023,22.807
08/07/2023,23.232
08/04/2023,23.716
08/03/2023,23.697
08/02/2023,23.872
08/01/2023,24.326
07/31/2023,24.972
07/28/2023,24.495
07/27/2023,24.367
07/26/2023,24.97
07/25/2023,24.824
07/24/2023,24.581
07/21/2023,24.855
07/20/2023,24.962
07/19/2023,25.387
07/18/2023,25.256
07/17/2023,25.018
07/14/2023,25.194
07/13/2023,24.949
07/12/2023,24.31
07/11/2023,23.281
07/10/2023,23.345
07/07/2023,23.289
07/06/2023,22.89
07/05/2023,23.402
07/03/2023,23.112
06/30/2023,23.02
06/29/2023,22.798
06/28/2023,23.084
06/27/2023,23.148
06/26/2023,23.024
06/23/2023,22.549
06/22/2023,22.67
06/21/2023,23.019
06/20/2023,23.445
06/16/2023,24.126
06/15/2023,23.947
06/14/2023,24.105
06/13/2023,23.822
06/12/2023,24.059
06/09/2023,24.41
06/08/2023,24.348
06/07/2023,23.529
06/06/2023,23.67
06/05/2023,23.635
06/02/2023,23.747
06/01/2023,23.987
05/31/2023,23.587
05/30/2023,23.239
05/26/2023,23.36
05/25/2023,22.91
05/24/2023,23.24
05/23/2023,23.624
05/22/2023,23.861
05/19/2023,24.06
05/18/2023,23.633
05/17/2023,23.897
05/16/2023,23.893
05/15/2023,24.291
05/12/2023,24.154
05/11/2023,24.424
05/10/2023,25.658
05/09/2023,25.898
05/08/2023,25.834
05/05/2023,25.93
05/04/2023,26.227
05/03/2023,25.681
05/02/2023,25.619
05/01/2023,25.23
04/28/2023,25.226
04/27/2023,25.209
04/26/2023,25.071
04/25/2023,25.088
04/24/2023,25.524
04/21/2023,25.28
04/20/2023,25.595
04/19/2023,25.371
04/18/2023,25.263
04/17/2023,25.088
04/14/2023,25.46
04/13/2023,25.925
04/12/2023,25.458
04/11/2023,25.154
04/10/2023,25.446
04/07/2023,25.075
04/06/2023,24.802
04/05/2023,24.732
04/04/2023,24.873
04/03/2023,25.235
03/31/2023,25.42
03/30/2023,25.273
03/29/2023,24.892
03/28/2023,24.652
03/27/2023,24.903
03/24/2023,24.697
03/23/2023,24.616
03/22/2023,24.591
03/21/2023,24.291
03/20/2023,24.345
03/17/2023,24.135
03/16/2023,24.268
03/15/2023,24.695
03/14/2023,24.621
03/13/2023,24.752
03/10/2023,24.956
03/09/2023,24.829
03/08/2023,24.712
03/07/2023,24.888
03/06/2023,25.177
03/03/2023,25.346
03/02/2023,25.481
03/01/2023,25.62
02/28/2023,25.681
02/27/2023,25.619
02/24/2023,25.851
02/23/2023,25.998
02/22/2023,25.965
02/21/2023,26.137
02/17/2023,26.02
02/16/2023,26.187
02/15/2023,26.273
02/14/2023,26.521
02/13/2023,26.671
02/10/2023,26.866
02/09/2023,27.145
02/08/2023,27.266
02/07/2023,27.34
02/06/2023,27.416
02/03/2023,27.312
02/02/2023,27.235
02/01/2023,27.15
01/31/2023,26.844
01/30/2023,26.795
01/27/2023,26.838
01/26/2023,26.911
01/25/2023,26.978
01/24/2023,26.727
01/23/2023,26.414
